epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
48,2793.15,1.19159,0.64251,1.08945,0.96998,0.9393,0.97751,0.70559,1.09589,0.50121,1.0577,0.0005347,0.0005347,0.0005347
49,2850.97,1.18149,0.63828,1.07804,0.96977,0.94538,0.97892,0.7244,1.03567,0.48811,1.02972,0.0005248,0.0005248,0.0005248
50,2909.74,1.18098,0.64327,1.08699,0.96999,0.94351,0.97941,0.69709,1.11963,0.49671,1.05573,0.0005149,0.0005149,0.0005149
51,2967.19,1.17473,0.63043,1.07909,0.96635,0.94711,0.97887,0.70822,1.08303,0.49366,1.04514,0.000505,0.000505,0.000505
52,3025.1,1.17001,0.63211,1.07935,0.97058,0.93825,0.98142,0.70202,1.09382,0.50737,1.05233,0.0004951,0.0004951,0.0004951
53,3083.79,1.16613,0.62692,1.07771,0.96931,0.94456,0.98243,0.70445,1.10908,0.50154,1.05891,0.0004852,0.0004852,0.0004852
54,3142.18,1.15947,0.62414,1.07443,0.97431,0.94497,0.98206,0.71884,1.04686,0.48546,1.03195,0.0004753,0.0004753,0.0004753
55,3200.92,1.15763,0.61742,1.07289,0.97073,0.94268,0.97755,0.71852,1.03795,0.48439,1.03039,0.0004654,0.0004654,0.0004654
56,3260.11,1.15141,0.61474,1.06798,0.97103,0.94072,0.97835,0.7318,1.01813,0.47681,1.02338,0.0004555,0.0004555,0.0004555
57,3317.62,1.14303,0.61246,1.06686,0.97269,0.94491,0.98233,0.73786,1.00983,0.45785,1.02559,0.0004456,0.0004456,0.0004456
58,3375.2,1.16073,0.61328,1.07108,0.97145,0.94331,0.9803,0.73231,1.01658,0.47143,1.02169,0.0004357,0.0004357,0.0004357
59,3432.94,1.13935,0.60378,1.06442,0.96979,0.94772,0.9816,0.73323,1.01301,0.46952,1.01805,0.0004258,0.0004258,0.0004258
60,3490.9,1.12818,0.60456,1.05723,0.97326,0.94491,0.98298,0.72297,1.03138,0.46098,1.01944,0.0004159,0.0004159,0.0004159
61,3548.6,1.14376,0.60569,1.06218,0.97579,0.94759,0.98155,0.73733,0.98042,0.45871,1.00472,0.000406,0.000406,0.000406
62,3605.75,1.12429,0.59733,1.05718,0.96917,0.9487,0.98191,0.73329,1.00215,0.46265,1.00985,0.0003961,0.0003961,0.0003961
63,3662.95,1.12681,0.59835,1.06277,0.97472,0.94912,0.98514,0.73329,1.01577,0.45611,1.01378,0.0003862,0.0003862,0.0003862
64,3721.04,1.12465,0.59034,1.05993,0.96595,0.95228,0.98324,0.74119,0.97837,0.454,1.00348,0.0003763,0.0003763,0.0003763
65,3779.28,1.11638,0.58773,1.05556,0.96757,0.95252,0.98244,0.73561,1.02363,0.45511,1.01877,0.0003664,0.0003664,0.0003664
66,3837.85,1.11052,0.58833,1.05479,0.97482,0.95069,0.98493,0.73796,0.99898,0.44422,1.00745,0.0003565,0.0003565,0.0003565
67,3895.45,1.10406,0.5814,1.04843,0.9735,0.95403,0.98342,0.74702,0.95909,0.44872,0.99709,0.0003466,0.0003466,0.0003466
68,3953.62,1.10807,0.57811,1.04935,0.97728,0.95062,0.98459,0.75556,0.95313,0.44134,0.99508,0.0003367,0.0003367,0.0003367
69,4011.54,1.10596,0.58322,1.05425,0.96786,0.95509,0.98493,0.73836,0.99305,0.4455,1.00548,0.0003268,0.0003268,0.0003268
70,4069.22,1.09929,0.57745,1.04494,0.97211,0.95544,0.98592,0.74562,0.97022,0.43507,0.99611,0.0003169,0.0003169,0.0003169
71,4127.4,1.09475,0.57297,1.05062,0.97583,0.95404,0.98547,0.75058,0.96392,0.43302,0.99808,0.000307,0.000307,0.000307
72,4186.35,1.08675,0.56884,1.04204,0.97927,0.95719,0.98552,0.75398,0.95617,0.42878,0.99772,0.0002971,0.0002971,0.0002971
73,4243.78,1.09013,0.57454,1.04509,0.97237,0.96304,0.98719,0.7496,0.9602,0.42999,0.99517,0.0002872,0.0002872,0.0002872
74,4302.37,1.08657,0.56448,1.04256,0.97576,0.96053,0.98571,0.75145,0.96323,0.42696,0.99262,0.0002773,0.0002773,0.0002773
75,4360.86,1.08017,0.56468,1.03771,0.97644,0.95992,0.9855,0.7533,0.95209,0.4273,0.98936,0.0002674,0.0002674,0.0002674
76,4418.7,1.07389,0.5613,1.03962,0.97009,0.96421,0.98502,0.76154,0.93317,0.42382,0.98684,0.0002575,0.0002575,0.0002575
77,4476.76,1.07112,0.55981,1.03496,0.97362,0.96105,0.98558,0.76165,0.9314,0.42467,0.99017,0.0002476,0.0002476,0.0002476
78,4533.94,1.0605,0.54965,1.02985,0.97364,0.9607,0.98447,0.76111,0.92906,0.42308,0.98538,0.0002377,0.0002377,0.0002377
79,4591.01,1.06498,0.55458,1.03437,0.97036,0.96503,0.98437,0.76022,0.9463,0.42262,0.99206,0.0002278,0.0002278,0.0002278
80,4648.23,1.05771,0.54786,1.02913,0.9782,0.96035,0.9851,0.7588,0.94267,0.4224,0.98946,0.0002179,0.0002179,0.0002179
