epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
38,4300.53,0.96437,0.49012,1.03366,0.98498,0.98175,0.99348,0.80316,0.83759,0.37175,0.97299,0.0002674,0.0002674,0.0002674
39,4414.81,0.95646,0.48571,1.02982,0.98632,0.97863,0.99339,0.80622,0.83147,0.36883,0.97142,0.0002476,0.0002476,0.0002476
40,4528.19,0.94676,0.4772,1.02423,0.98443,0.98222,0.99372,0.80576,0.82376,0.36564,0.96992,0.0002278,0.0002278,0.0002278
41,4619.19,0.77172,0.36481,0.94404,0.98496,0.98098,0.99326,0.80749,0.81346,0.36539,0.96643,0.000208,0.000208,0.000208
42,4705.97,0.74971,0.35188,0.93644,0.98549,0.98511,0.99343,0.81066,0.81831,0.36222,0.96422,0.0001882,0.0001882,0.0001882
43,4792.82,0.73295,0.34276,0.9296,0.98819,0.98596,0.9937,0.8185,0.8025,0.35745,0.96047,0.0001684,0.0001684,0.0001684
44,4879.92,0.71742,0.33626,0.92376,0.98905,0.9883,0.99387,0.81868,0.80035,0.35404,0.95964,0.0001486,0.0001486,0.0001486
45,4967.5,0.70595,0.33052,0.9154,0.9851,0.9869,0.99375,0.81757,0.80182,0.35383,0.95817,0.0001288,0.0001288,0.0001288
46,5054.65,0.69316,0.3246,0.91219,0.98459,0.98783,0.99385,0.82266,0.7879,0.34857,0.95275,0.000109,0.000109,0.000109
47,5141.89,0.68134,0.31885,0.90937,0.98552,0.9873,0.99421,0.82586,0.7859,0.34749,0.95247,8.92e-05,8.92e-05,8.92e-05
48,5228.92,0.67101,0.3147,0.90503,0.98691,0.98781,0.99428,0.82818,0.78617,0.34737,0.95431,6.94e-05,6.94e-05,6.94e-05
49,5316.63,0.66386,0.31024,0.90125,0.98686,0.98373,0.99416,0.82979,0.78096,0.34643,0.9527,4.96e-05,4.96e-05,4.96e-05
50,5403.5,0.65024,0.30578,0.89679,0.98974,0.98549,0.99424,0.83008,0.77839,0.34499,0.95231,2.98e-05,2.98e-05,2.98e-05
